Packet Log,Channle:,DatagramSocket3,TimeStamp:,01-03-2026_11-44-15
Seq,Received,Delay(ms),Status
771,1,85,OUT_OF_ORDER
773,1,84,OUT_OF_ORDER
774,1,84,OK
775,0,0,TIMEOUT
776,0,0,TIMEOUT
776,1,0,OUT_OF_ORDER
770,1,252,OUT_OF_ORDER
777,1,125,OK
778,1,125,OK
779,1,126,OK
780,1,126,OK
782,1,125,OUT_OF_ORDER
781,1,127,OUT_OF_ORDER
783,1,126,OK
785,1,127,OUT_OF_ORDER
784,1,252,OUT_OF_ORDER
787,1,126,OUT_OF_ORDER
786,1,128,OUT_OF_ORDER
788,1,127,OK
790,1,127,OUT_OF_ORDER
789,1,129,OUT_OF_ORDER
791,1,128,OK
793,1,127,OUT_OF_ORDER
792,1,127,OUT_OF_ORDER
794,1,125,OK
796,1,1,OUT_OF_ORDER
795,1,252,OUT_OF_ORDER
798,1,126,OUT_OF_ORDER
797,1,127,OUT_OF_ORDER
800,1,1,OUT_OF_ORDER
801,1,126,OK
803,1,125,OUT_OF_ORDER
799,1,252,OUT_OF_ORDER
805,1,0,OUT_OF_ORDER
806,1,126,OK
804,1,126,OUT_OF_ORDER
807,1,127,OK
808,0,0,TIMEOUT
809,0,0,TIMEOUT
810,0,0,TIMEOUT
808,1,199,OUT_OF_ORDER
814,1,74,OUT_OF_ORDER
813,1,74,OUT_OF_ORDER
815,0,0,TIMEOUT
816,0,0,TIMEOUT
815,1,126,OUT_OF_ORDER
817,1,125,OK
816,1,126,OUT_OF_ORDER
818,1,126,OK
820,1,1,OUT_OF_ORDER
822,1,125,OUT_OF_ORDER
823,1,125,OK
824,1,0,OK
819,1,252,OUT_OF_ORDER
825,1,126,OK
827,1,125,OUT_OF_ORDER
826,1,125,OUT_OF_ORDER
828,1,1,OK
831,1,126,OUT_OF_ORDER
830,1,126,OUT_OF_ORDER
833,1,0,OUT_OF_ORDER
834,1,0,OK
832,1,127,OUT_OF_ORDER
837,1,0,OUT_OF_ORDER
838,1,0,OK
839,0,0,TIMEOUT
836,1,147,OUT_OF_ORDER
841,1,20,OUT_OF_ORDER
840,1,20,OUT_OF_ORDER
842,0,0,TIMEOUT
843,0,0,TIMEOUT
844,0,0,TIMEOUT
844,1,83,OUT_OF_ORDER
845,1,83,OK
842,1,209,OUT_OF_ORDER
846,0,0,TIMEOUT
847,0,0,TIMEOUT
848,1,0,OK
846,1,251,OUT_OF_ORDER
849,1,125,OK
851,1,1,OUT_OF_ORDER
850,1,126,OUT_OF_ORDER
853,1,127,OUT_OF_ORDER
852,1,128,OUT_OF_ORDER
856,1,0,OUT_OF_ORDER
857,1,0,OK
854,1,254,OUT_OF_ORDER
859,1,0,OUT_OF_ORDER
858,1,127,OUT_OF_ORDER
860,1,126,OK
863,1,0,OUT_OF_ORDER
864,1,1,OK
865,1,0,OK
862,1,251,OUT_OF_ORDER
866,1,125,OK
867,1,1,OK
870,1,0,OUT_OF_ORDER
871,0,0,TIMEOUT
869,1,148,OUT_OF_ORDER
871,1,22,OUT_OF_ORDER
873,1,22,OUT_OF_ORDER
874,1,22,OK
875,1,22,OK
872,1,148,OUT_OF_ORDER
877,1,22,OUT_OF_ORDER
878,0,0,TIMEOUT
879,0,0,TIMEOUT
879,1,65,OUT_OF_ORDER
876,1,190,OUT_OF_ORDER
880,0,0,TIMEOUT
881,0,0,TIMEOUT
882,0,0,TIMEOUT
880,1,126,OUT_OF_ORDER
883,1,126,OK
882,1,126,OUT_OF_ORDER
885,1,125,OUT_OF_ORDER
884,1,127,OUT_OF_ORDER
